Marca temporal,Titulo de la Noticia,Día de Publicación,Fuente ,"Si contestó  'otra', ¿De qué fuente proviene?",Breve descripción de la Noticia,Incrustar etiquetas,"Si no encuentra la etiqueta adecuada, ¿Qué etiqueta añadiría a su noticia? (Separe los tags por comas)",Link de la noticia,¿Tiene lugar en La Rioja?
5/06/2020 11:07:06,La soberanía de datos a través de nuevas infraestructuras cloud en Europa,5/06/2020,https://www.muycanal.com/,,"DE-CIX ha anunciado que su participación como uno de los miembros fundadores del proyecto europeo de infraestructura de datos, GAIA-X, impulsado por el ministerio alemán de Economía y Energía, y cuyo objetivo será favorecer la soberanía de los datos, la disponibilidad de los mismos y la innovación digital a nivel europeo.","Ciberseguridad, Telecomunicaciones, Big Data, Sector TIC",Cloud,https://www.muycanal.com/2020/06/05/la-soberania-de-datos-a-traves-de-nuevas-infraestructuras-cloud-en-europa,No
4/06/2020 9:11:24,NUEVOS WEBINARS: Innovación y Empresa,4/06/2020,CTCR,,12 de junio: de 10 a 11h. “Compartir conocimientos en tiempo de incertidumbre. Innovación Abierta”. 19 de junio: de 10 a 11h. “Ley de Secretos Empresariales”,"Innovación, Empresa, Pyme",,https://www.ctcr.es/es/comunicacion/noticias/2760-nuevos-webinars-innovacion-y-empresa,Sí
4/06/2020 9:25:26,Extensión del plazo de presentación de propuestas a la Séptima Llamada Bilateral España-Perú hasta el 12 de junio de 2020,4/06/2020,CDTI,,"Tras los últimos acontecimientos registrados y las medidas adoptadas en Perú y en España para frenar el avance del virus COVID 19, desde el FONDECYT y el CDTI se ha adoptado la decisión de extender la fecha de cierre de la fase I de la VII Convocatoria de proyectos de I+D España - Perú al 12 de junio de 2020.","Innovación, Convocatorias Nacionales, Investigación, Proyectos, Empresa, Tecnología",,https://www.cdti.es/index.asp?MP=9&MS=31&MN=2&TR=A&IDR=7&id=1544&r=1920*1080,No
4/06/2020 9:35:02,Listado completo de oportunidades de cooperación tecnológica publicadas del 18/05/2020 al 31/05/2020,4/06/2020,ADER,,Puedes ver el listado completo de ofertas y demandas tecnológicas y búsquedas de socios para completar consorcios para proyectos europeos de I+D que han sido publicadas por la red Enterprise Europe Network entre el 18 de abril y el 31 de mayo de 2020.,"Cooperación Tecnológica, Proyectos, Empresa, Pyme",,http://een.ader.es/noticias/748-listado-completo-de-oportunidades-de-cooperacion-tecnologica-publicadas-del-18-05-2020-al-31-05-2020,No
4/06/2020 9:56:37,Se abre a consulta pública la normativa europea sobre servicios digitales,4/06/2020,smartcity.es,,"La Comisión Europea ha abierto una consulta pública para que todas las partes interesadas puedan contribuir en la configuración de la normativa sobre servicios digitales de la UE. La consulta está abierta hasta el 8 de septiembre de 2020 y abarca cuestiones como la seguridad online, la equidad y la igualdad de condiciones de competencia en la economía digital.","Ciberseguridad, Convocatorias Europeas, Digitalización, Normativa",,https://www.esmartcity.es/2020/06/04/se-abre-consulta-publica-normativa-europea-servicios-digitales,No
4/06/2020 10:48:54,"Más intenso en industria, más digital y más sostenible: así tendría que ser el nuevo modelo productivo",4/06/2020,ituser.es,,"Tras la irrupción brusca de la crisis a raíz de la emergencia sanitaria, comienza la desescalada que permitirá la reactivación económica. No son pocos los expertos que perfilan cómo debería ser el plan de choque. Entre ellos, los miembros del Foro de Empresas Innovadoras (FEI) y de la Comunidad IND+I, que consideran decisiva la apuesta por una economía con más intensidad industrial, más digitalizada y orientada a los Objetivos de Desarrollo Sostenible (ODS).","Economía, Digitalización, Empresa, Pyme, Sostenibilidad",,https://www.ituser.es/estrategias-digitales/2020/06/mas-intenso-en-industria-mas-digital-y-mas-sostenible-asi-tendria-que-ser-el-nuevo-modelo-productivo,No
4/06/2020 13:41:30, Logroño se adhiere a cinco redes europeas vinculadas con el desarrollo urbano sostenible y las nuevas tecnologías,4/06/2020,La Vanguardia,,"El Ayuntamiento de Logroño, en su sesión plenaria correspondiente al mes de junio que se celebra este jueves, ha aprobado solicitar su adhesión a cinco redes europeas vinculadas con el desarrollo urbano sostenible y las nuevas tecnologías. Se trata, en concreto, de Ciudades que Caminan, ERRIN, OASC, Foro de la Movilidad de Eurocities y Foro de la Sociedad del Conocimiento de Eurocities.","Innovación, Digitalización, Tecnología, Administración, Medioambiente, Smartcity, Sostenibilidad",,https://www.lavanguardia.com/local/la-rioja/20200604/481595748814/logrono-se-adhiere-a-cinco-redes-europeas-vinculadas-con-el-desarrollo-urbano-sostenible-y-las-nuevas-tecnologias.html,Sí
3/06/2020 9:33:50,Así es el mapa de la transferencia del conocimiento en España,3/06/2020,https://digitalaffaires.es/,,"Mucho se ha hablado en los últimos años en España del papel de las universidades en la transmisión de los resultados obtenidos y del impacto que genera la ciencia en la economía y sociedad en general, lo que en el argot universitario se denomina Transferencia del conocimiento.","Investigación, Empresa, Universidad, Transferencia del conocimiento",,https://digitalaffaires.es/art/5535/asi-es-el-mapa-de-la-transferencia-del-conocimiento-en-espana,No
3/06/2020 12:50:21,"La tecnología tradicional y la falta de competencias en TI, entre los principales lastres para el avance digital",3/06/2020,ituser.es,,"Las empresas siguen desplegando sus estrategias de transformación digital, pero se están encontrando con el obstáculo de soluciones anticuadas para proteger y gestionar sus datos. En general, la tecnología tradicional y la falta de habilidades tecnológicas están dificultando el avance digital.","Digitalización, Empresa, Pyme, Tecnología",,https://www.ituser.es/estrategias-digitales/2020/06/la-tecnologia-tradicional-y-la-falta-de-competencias-en-ti-entre-los-principales-lastres-para-el-avance-digital,No
3/06/2020 13:34:45,"Desarrollo Autonómico destina 559.342,95 euros a la adquisición de equipamiento informático para hacer frente a la crisis sanitaria por el COVID-19",3/06/2020,Gobierno de La Rioja,,"La Consejería de Desarrollo Autonómico ha tramitado de emergencia la contratación de suministros y servicios informáticos por un valor total de 559.342,95 euros en el marco de la crisis sanitaria ocasionada por el COVID-19.","COVID-19, Digitalización, Tecnología, Informática, Administración",,https://www.larioja.org/innovacion/es/noticias/noticia-innovacion/desarrollo-autonomico-destina-559-342-95-euros-adquisicion,Sí
2/06/2020 8:53:59,La nanotecnología avanzada podría facilitar la detección del SARS-CoV-2 en 10 minutos,2/06/2020,https://www.consalud.es/,,La técnica está diseñada para reaccionar en presencia del material genético del nuevo coronavirus y ayudar a diagnosticar una infección,"COVID-19, Investigación, Nanotecnología, Salud",,https://www.consalud.es/pacientes/especial-coronavirus/nanotecnologia-avanzada-facilitar-deteccion-sars-cov-2-10-minutos_80374_102.html,No
2/06/2020 12:42:06,Hoy se abre la convocatoria de ayudas a Plataformas Tecnológicas y de Innovación 2020 de la Agencia Estatal de Investigación.,2/06/2020,Ministerio de Ciencia e Innovación,,Esta convocatoria fomenta las estructuras de intercambio y comunicación entre los distintos agentes del sistema de I+D+I. Hasta el 16 de junio,"Innovación, Convocatorias Nacionales, Ayudas, Tecnología",,https://www.ciencia.gob.es/portal/site/MICINN/menuitem.dbc68b34d11ccbd5d52ffeb801432ea0/?vgnextoid=a17304aad8ac1710VgnVCM1000001d04140aRCRD&vgnextchannel=b24e067c468a4610VgnVCM1000001d04140aRCRD,No
2/06/2020 12:52:54,El plazo de presentación de propuestas a la convocatoria del programa Misiones Ciencia e Innovación permanecerá abierta hasta el próximo 3 de julio,2/06/2020,CDTI,,"La prórroga del Estado de Alarma del Real Decreto 537/2020 de 22 de mayo modificó el plazo para la presentación de proyectos a la convocatoria Misiones Ciencia e Innovación, que cerrará definitivamente el próximo 3 de julio de 2020 a las 12:00 del mediodía.","Innovación, Ciencia, Tecnología",,http://perspectivacdti.es/la-convocatoria-del-programa-misiones-ciencia-e-innovacion-permanecera-abierta-hasta-el-15-de-abril-de-2020/,No
1/06/2020 9:16:18,Un nuevo acuerdo para una nueva economía,1/06/2020,CincoDias,,"La industria 4.0 debe convertirse en una nueva realidad, una revolución industrial inteligente en la que combinemos de manera acertada las nuevas tecnologías con las modernas técnicas de producción articulando un mercado laboral accesible, estable y garantista, donde elementos como la inteligencia artificial, la simulación de procesos, la realidad virtual o la robotización no sean una utopía futura sino una tangible realidad presente.","Energía, Innovación, Inteligencia Artificial, Transporte, Cambio Climático, Big Data, COVID-19, Digitalización, Green Deal/ Pacto Verde, IoT, Machine Learning",,https://cincodias.elpais.com/cincodias/2020/05/29/opinion/1590765646_094814.html#?ref=rss&format=simple&link=link,No
1/06/2020 10:25:39,"Mayo reactiva el ecosistema español con 70,8M€ invertidos en startups españolas",1/06/2020,elreferente.es,,"Mayo vuelve a reactivar la inversión en startups al cerrar el mes con 70,89 millones de euros invertidos en un total de 23 operaciones públicas a las que sumar otras dos operaciones de las que no ha trascendido la cantidad de la ronda (Transeop y Ninety Nine)","Inversión, startup",,https://www.elreferente.es/Tecnologicos/mayo-reactiva-el-ecosistema-espanol-con-70-8m-invertidos-en-startups-espanolas-35149,No
1/06/2020 11:03:34,Se abren las convocatorias de European Green Leaf 2022 y Capital Verde Europea 2023,1/06/2020,smartcity.es,,"La Comisión Europea ha lanzado la convocatoria de premios European Green Leaf 2022 (EGLA) y Capital Verde Europea 2023 (EGCA), que reconocen los avances de las ciudades comprometidas con la sostenibilidad. La presentación de candidaturas estará abierta hasta el 28 de octubre de 2020.","Convocatorias Europeas, Smartcity",Sostenibilidad,https://www.esmartcity.es/2020/06/01/abren-convocatorias-european-green-leaf-2022-capital-verde-europea-2023,No
1/06/2020 12:02:50,"El CTCR ofrece ya, desde sus laboratorios riojanos, ensayos de mascarillas para combatir el Covid-19",1/06/2020,CTCR,,"El Centro Tecnológico del Calzado de La Rioja ofrece ya la gestión y ejecución de ensayos de mascarillas quirúrgicas e higiénicas, uno de los productos más fabricados y demandados contra el Coronavirus, Covid-19.","COVID-19, Investigación, Salud",,https://www.ctcr.es/es/comunicacion/noticias/2759-el-ctcr-ofrece-ya-desde-sus-laboratorios-riojanos-ensayos-de-mascarillas-para-combatir-el-covid-19,Sí
1/06/2020 12:08:15,Solo una de cada diez empresas trabaja actualmente con Blockchain en España,1/06/2020,ituser.es,,"Tan solo una de cada 10 empresas en España trabaja actualmente con Blockchain, lo que pone de manifiesto la necesidad de trabajar en un plan que ayude a las organizaciones a conocer sus beneficios, según un informe de AMETIC. La inversión en esta tecnología alcanzará este año la modesta cifra de 103,5 millones de dólares (unos 93,2 millones de euros).","Empresa, Tecnología, Inversión, Blockchain",,https://www.ituser.es/estrategias-digitales/2020/06/solo-una-de-cada-diez-empresas-trabaja-actualmente-con-blockchain-en-espana,No
1/06/2020 12:36:35,El CDTI aprueba ayudas por 65 millones de euros para 127 proyectos de I+D+I empresarial,1/06/2020,CDTI,,"El Consejo de Administración del CDTI, Entidad Pública Empresarial (E.P.E.) adscrita al Ministerio de Ciencia e Innovación, ha aprobado 127 nuevos proyectos de I+D+I con un presupuesto total que asciende a 84,68 millones de euros. El CDTI aportará 64,99 millones de euros impulsando, de esta manera, la I+D+I empresarial.","Convocatorias Nacionales, Ayudas, Proyectos, Empresa, Pyme",,https://www.ciencia.gob.es/portal/site/MICINN/menuitem.edc7f2029a2be27d7010721001432ea0/?vgnextoid=d6695208b3f62710VgnVCM1000001d04140aRCRD&vgnextchannel=04dbc4d659ecb210VgnVCM1000001a04140aRCRD,No
1/06/2020 13:05:59,El Pleno debatirá la adhesión de Logroño a varias redes de ciudades vinculadas al desarrollo sostenible y la tecnología,1/06/2020,rioja2.com,,"El equipo de Gobierno considera ""importante"" que la ciudad esté presente en foros nacionales y europeos de este tipo","Tecnología, Smartcity, Sostenibilidad",,https://www.rioja2.com/n-142986-3-el-pleno-debatira-la-adhesion-de-logrono-a-varias-redes-de-ciudades-vinculadas-al-desarrollo-sostenible-y-la-tecnologia/,Sí
2/06/2020 8:52:17,"El CTCR ofrece ya, desde sus laboratorios riojanos, ensayos de mascarillas para combatir el Covid-19",1/06/2020,FER,,"El Centro Tecnológico del Calzado de La Rioja ofrece ya la gestión y ejecución de ensayos de mascarillas quirúrgicas e higiénicas, uno de los productos más fabricados y demandados contra el Coronavirus, Covid-19.","Innovación, Innovación Industrial, COVID-19, Centros Tecnológicos, Tecnología",,https://sie.fer.es/esp/Servicios/Comunicacion/Sala_Prensa/Noticias/El_CTCR_ofrece_ya_sus_laboratorios_riojanos_ensayos_mascarillas_combatir_Covid-19/webFile_28931.htm,Sí
2/06/2020 8:55:57,FECYT y Elsevier organizan una formación extraordinaria online de Scopus,1/06/2020,FECYT,,"Ante la suspensión de la formación presencial de Scopus programada para junio de 2020, debido a la Covid-19, FECYT junto con Elsevier, han sustituido dicha formación por una serie de jornadas extraordinarias y online, que tendrán lugar del 15 al 26 de junio.","COVID-19, Educación, Investigación, Formación, Digitalización",,https://www.fecyt.es/es/noticia/fecyt-y-elsevier-organizan-una-formacion-extraordinaria-online-de-scopus,No
1/06/2020 9:20:02,Repsol robotiza más de 100 procesos industriales en sus plantas,31/05/2020,CincoDias,,"Repsol potenciará el uso de robots, como parte de su estrategia de transformación digital, para generar procesos eficientes y seguros en sus instalaciones. La compañía ya ha logrado automatizar más de 100 procesos industriales y está avanzando en la incorporación de componentes que doten de mayor inteligencia a los robots ya desplegados.","Innovación, Inteligencia Artificial, Robótica, IoT, Industria 4.0",,https://cincodias.elpais.com/cincodias/2020/05/29/companias/1590772362_381485.html#?ref=rss&format=simple&link=link,No
2/06/2020 9:14:20,El 'hyperloop' español cierra una ronda de siete millones,31/05/2020,Expansión,,"La operación ha estado liderada por el grupo de ingeniería y consultoría francés Altran, aunque también participan Red Eléctrica y Angels Capital, el fondo de start-up de Juan Roig (Mercadona), que redobla así su apuesta por el 'tren supersónico' ideado por Elon Musk en 2012 y que sería capaz de alcanzar los 1.000 km/h, velocidad que permitiría unir las ciudades de Madrid y París en poco más de 60 minutos.","Innovación, Transporte, Cambio Climático, Investigación, Cooperación Tecnológica, startup, Bioeconomía, Sostenibilidad",,https://www.expansion.com/economia-digital/companias/2020/05/31/5ed41af6e5fdeae50b8b45e5.html,No
2/06/2020 9:10:49,"XPO Logistics: ""Sin 'big data' se habría roto el 'stock' de los supermercados""",30/05/2020,Expansión,,"La crisis del Covid-19 ha puesto de manifiesto la importancia de contar con cadenas de suministro flexibles capaces de hacer frente a picos elevados de demanda de forma repentina. Un proceso en el que ha resultado clave la apuesta de XPOLogistics por incorporar a su red de centros logísticos las últimas tecnologías disponibles. ""La compañía invierte unos 500 millones de euros al año solo en tecnología, ya que consideramos que la innovación tecnológica es un factor estratégico y diferenciador para mantenernos a la vanguardia del sector y adaptarnos a las necesidades de nuestros clientes"", indica Marques.","Innovación, Inteligencia Artificial, Transporte, Innovación Industrial, Big Data, COVID-19, Organización Empresarial, Digitalización, Robótica, Realidad aumentada",,https://www.expansion.com/economia-digital/protagonistas/2020/05/30/5ed0e516e5fdea01218b4623.html,No
29/05/2020 9:45:12,"Extracto de la Resolución de 21 de mayo de 2020, de la Presidencia de la Agencia Estatal de Investigación, por la que se aprueba la convocatoria para el año 2020 del procedimiento de concesión de ayudas correspondientes a las acciones de dinamización «Europa Investigación», contempladas en el Programa Estatal de I+D+I Orientada a los Retos de la Sociedad, en el marco del Plan Estatal de Investigación Científica y Técnica y de Innovación 2017-2020",29/05/2020,BOE,,"Extracto de la Resolución de 21 de mayo de 2020, de la Presidencia de la Agencia Estatal de Investigación, por la que se aprueba la convocatoria para el año 2020 del procedimiento de concesión de ayudas correspondientes a las acciones de dinamización «Europa Investigación», contempladas en el Programa Estatal de I+D+I Orientada a los Retos de la Sociedad, en el marco del Plan Estatal de Investigación Científica y Técnica y de Innovación 2017-2020","Convocatorias Nacionales, Ayudas, Investigación, Centros Tecnológicos, Proyectos, Ciencia, Tecnología",,https://www.boe.es/boe/dias/2020/05/29/pdfs/BOE-B-2020-14439.pdf,No
29/05/2020 10:19:56,"Tecnología y reinvención de los modelos de negocio, motores de la recuperación",29/05/2020,ituser.es,,"Un estudio de everis analiza el impacto en la economía y las perspectivas de recuperación en función de tres escenarios de evolución de la crisis. El documento concluye que la innovación, repensar los modelos y rediseñar la organización con una redimensión de los recursos para competir serán la clave en el corto plazo, e identifica cuatro elementos clave para la recuperación: consumo, turismo, inversión pública ágil y eficiente y las exportaciones.","Economía, Innovación, Inversión, exportación",,https://www.ituser.es/actualidad/2020/05/tecnologia-y-reinvencion-de-los-modelos-de-negocio-motores-de-la-recuperacion,No
29/05/2020 13:14:14,"Extracto de la Orden de 22 de mayo de 2020, por la que se convocan subvenciones para el apoyo a Agrupaciones Empresariales Innovadoras, correspondientes al año 2020. ",29/05/2020,BOE,,"Extracto de la Orden de 22 de mayo de 2020, por la que se convocan subvenciones para el apoyo a Agrupaciones Empresariales Innovadoras, correspondientes al año 2020. ","Innovación, Convocatorias Nacionales, Subvenciones",,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2020-14436,No
29/05/2020 13:46:21,La inversión en blockchain en España alcanzará los 93M€ en 2020,29/05/2020,https://www.merca2.es/,,"La inversión en blockchain en España llegará a los 103,5 millones de dólares (92,9 millones de euros) en 2020, con un crecimiento sostenido del 54% hasta 2023, año en el que alcanzarán los 377,7 millones de dólares (339,2 millones de euros), según el informe ‘Estado del arte del Blockchain en la empresa española’, elaborado por Ametic, con la colaboración de ICEX y Realsec.","Empresa, Industria 4.0, Informe, Blockchain",,https://www.merca2.es/inversion-blockchain-espana/,No
29/05/2020 20:45:51,Andreu visita la planta de Arneplant de Arnedo donde se producen 160.000 mascarillas diarias,29/05/2020,Gobierno de La Rioja,,"La empresa ha creado una nueva línea de negocio, ArneCare, para la producción de pantallas y mascarillas en la que trabajan 251 personas, 151 de ellas nuevas contrataciones","Innovación, COVID-19, Empresa, Tecnología",,https://actualidad.larioja.org/noticia?n=not-andreu-visita-la-planta-de-arneplant-de-arnedo-donde-se-producen-160-000-mascarillas-diarias,Sí
28/05/2020 8:44:01,"Informe: Industria 4.0. Inteligencia artificial, IoT, trazabilidad y blockchain (DigitalES)",28/05/2020,https://www.digitales.es/,,"El informe señala que, desde la perspectiva de la Industria 4.0 entendida como la cuarta revolución industrial caracterizada por una operativa basada en sistemas ciberfísicos, existen unas tecnologías digitales primordiales que ya han demostrado su valor","Inteligencia Artificial, IoT, Industria 4.0, Blockchain",,https://www.digitales.es/wp-content/uploads/2020/04/INDUSTRIA-4.0-web-spread.pdf,No
28/05/2020 10:39:36,Claves para resolver el problema de la falta de perfiles digitales,28/05/2020,ituser.es,,"Para afrontar la falta de perfiles y competencias digitales, en España se debería trabajar en varios aspectos de forma inmediata, entre ellas mejorar la comunicación universidad-empresa o poner en marcha de planes de igualdad de género efectivos. Un estudio profundiza en cómo abordar éstas y otras cuestiones, y responder a este desafío.","Digitalización, Empresa, Pyme, Empleo, Talento",,https://www.ituser.es/estrategias-digitales/2020/05/claves-para-resolver-el-problema-de-la-falta-de-perfiles-digitales,No
28/05/2020 11:55:07,"Telefónica ofrece a las startups su tecnología IoT, blockchain e inteligencia artificial",28/05/2020,itespresso.es,,"Las startups seleccionadas podrán acceder gratuitamente durante seis meses a estas tecnologías y tendrán también la posibilidad de realizar un piloto con Telefónica.  Telefónica presenta el Telefónica Activation Programme, una iniciativa dirigida a startups y pymes de Alemania, España y Reino Unido que busquen potenciar sus soluciones tecnológicas y acelerar su desarrollo de negocio a través de las tecnologías de IoT, blockchain y Big Data/IA agrupadas en Telefónica Tech.","Inteligencia Artificial, Big Data, IoT, startup, Blockchain",,https://www.itespresso.es/telefonica-ofrece-a-las-startups-su-tecnologia-iot-blockchain-e-inteligencia-artificial-189799.html,No
28/05/2020 14:56:04,La Rioja lanza un sistema pionero para identificar nuevos contagios y el seguimiento de las cadenas de trasmisión del COVID-19,28/05/2020,Gobierno de La Rioja,,"La solución permite la identificación de nuevos casos, el seguimiento de sus contactos con el objetivo de visualizar las cadenas de transmisión y adaptarse a diferentes escenarios ante la evolución de la enfermedad","Big Data, COVID-19",,https://www.larioja.org/innovacion/es/noticias/noticia-innovacion/rioja-lanza-sistema-pionero-identificar-nuevos-contagios-se,Sí
28/05/2020 19:17:49,"UNIR, Edix y AERTIC convocan cien becas para jóvenes riojanos en carreras digitales",28/05/2020,nuevecuatrouno.com,,"La Fundación UNIR y Edix, el Instituto de Expertos Digitales de UNIR, en colaboración con la Agrupación Empresarial Innovadora del Sector TIC de La Rioja (AERTIC), convocan cien becas de formación digital para jóvenes riojanos menores de treinta años y empadronados en La Rioja.","Formación, Tecnología, Becas, Talento, e-commerce",,https://nuevecuatrouno.com/2020/05/28/fundacion-unir-edix-aertic-becas-jovenes-riojanos-carreras-digitales/,Sí
