CC.AA.;Solicitudes;Variacion Anual;% sobre Total ES;Nº Habitantes;% Habitantes/ Total ES;Ratio Solicitudes/ Millon Hab.;Desviación sobre la media;Year
CASTILLA LEON;13;-31,58%;2,58%;2.559.515;5,44%;5;-53,8%;2010
CATALUÑA;211;15,3%;41,95%;7.512.381;15,98%;28;155,4%;2010
CEUTA Y MELILLA;0;0%;0%;156.613;0,33%;0;-100%;2010
COMUNIDAD VALENCIANA;35;-2,78%;6,96%;5.111.706;10,87%;7;-37,7%;2010
EXTREMADURA;2;0%;0,4%;1.107.220;2,35%;2;-83,5%;2010
GALICIA;9;28,57%;1,79%;2.797.653;5,95%;3;-70,7%;2010
ILLES BALEARS;1;0%;0,2%;1.106.049;2,35%;1;-91,8%;2010
LA RIOJA;3;200%;0,6%;322.415;0,69%;9;-15,5%;2010
MADRID;89;1,14%;17,69%;6.458.684;13,74%;14;25,3%;2010
MURCIA;4;100%;0,8%;1.461.979;3,11%;3;-75,1%;2010
NAVARRA;20;-53,49%;3,98%;636.924;1,35%;31;185,5%;2010
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2010
PAIS VASCO;80;14,29%;15,9%;2.178.339;4,63%;37;233,9%;2010
TOTAL;503;nan;nan;47.021.031;nan;11;nan;2010
ANDALUCIA;16;0%;3,32%;8.424.102;17,85%;2;-81%;2011
ARAGON;14;100%;2,9%;1.346.293;2,85%;10;4%;2011
ASTURIAS;7;0%;1,45%;1.081.487;2,29%;6;-35,3%;2011
CANARIAS;1;0%;0,21%;2.126.769;4,51%;0;-95,3%;2011
CANTABRIA;2;0%;0,41%;593.121;1,26%;3;-66,3%;2011
CASTILLA LA MANCHA;2;-50%;0,41%;2.115.334;4,48%;1;-90,5%;2011
CASTILLA LEON;20;53,85%;4,15%;2.558.463;5,42%;8;-21,8%;2011
CATALUÑA;193;-8,53%;40,04%;7.539.618;15,98%;26;156%;2011
CEUTA Y MELILLA;0;0%;0%;160.852;0,34%;0;-100%;2011
COMUNIDAD VALENCIANA;21;-40%;4,36%;5.117.190;10,84%;4;-59%;2011
EXTREMADURA;4;100%;0,83%;1.109.367;2,35%;4;-63,9%;2011
GALICIA;10;11,11%;2,07%;2.795.422;5,92%;4;-64,2%;2011
ILLES BALEARS;2;100%;0,41%;1.113.114;2,36%;2;-82%;2011
LA RIOJA;0;-100%;0%;322.955;0,68%;0;-100%;2011
MADRID;85;-4,49%;17,63%;6.489.680;13,75%;13;31%;2011
MURCIA;4;0%;0,83%;1.470.069;3,12%;3;-72,8%;2011
NAVARRA;13;-35%;2,7%;642.051;1,36%;20;102,5%;2011
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2011
PAIS VASCO;88;10%;18,26%;2.184.606;4,63%;40;302,8%;2011
TOTAL;482;nan;nan;47.190.493;nan;10;nan;2011
ANDALUCIA;16;0%;3,09%;8.449.985;17,88%;2;-82,8%;2012
ARAGON;9;-35,71%;1,74%;1.349.467;2,86%;7;-39,4%;2012
ASTURIAS;7;0%;1,35%;1.077.360;2,28%;6;-40,9%;2012
CANARIAS;0;-100%;0%;2.118.344;4,48%;0;-100%;2012
CANTABRIA;1;-50%;0,19%;593.861;1,26%;2;-84,7%;2012
CASTILLA LA MANCHA;3;50%;0,58%;2.121.888;4,49%;1;-87,2%;2012
CASTILLA LEON;15;-25%;2,9%;2.546.078;5,39%;6;-46,5%;2012
CATALUÑA;220;13,99%;42,47%;7.570.908;16,02%;29;164,2%;2012
CEUTA Y MELILLA;0;0%;0%;164.820;0,35%;0;-100%;2012
COMUNIDAD VALENCIANA;11;-47,62%;2,12%;5.129.266;10,85%;2;-80,5%;2012
EXTREMADURA;0;-100%;0%;1.108.130;2,34%;0;-100%;2012
GALICIA;9;-10%;1,74%;2.781.498;5,88%;3;-70,5%;2012
ILLES BALEARS;2;0%;0,39%;1.119.439;2,37%;2;-83,7%;2012
LA RIOJA;2;0%;0,39%;323.609;0,68%;6;-43,8%;2012
MADRID;116;36,47%;22,39%;6.498.560;13,75%;18;62,3%;2012
MURCIA;7;75%;1,35%;1.474.449;3,12%;5;-56,8%;2012
NAVARRA;16;23,08%;3,09%;644.566;1,36%;25;125,6%;2012
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2012
PAIS VASCO;84;-4,55%;16,22%;2.193.093;4,64%;38;248,2%;2012
TOTAL;518;nan;nan;47.265.321;nan;11;nan;2012
ANDALUCIA;32;100%;5,48%;8.440.300;17,91%;4;-68,4%;2013
ARAGON;11;22,22%;1,88%;1.347.150;2,86%;8;-31,9%;2013
ASTURIAS;5;-28,57%;0,86%;1.068.165;2,27%;5;-61%;2013
CANARIAS;3;0%;0,51%;2.118.679;4,5%;1;-88,2%;2013
CANTABRIA;0;-100%;0%;591.888;1,26%;0;-100%;2013
CASTILLA LA MANCHA;2;-33,33%;0,34%;2.100.998;4,46%;1;-92,1%;2013
CASTILLA LEON;13;-13,33%;2,23%;2.519.875;5,35%;5;-57%;2013
CATALUÑA;221;0,45%;37,84%;7.553.650;16,03%;29;143,8%;2013
CEUTA Y MELILLA;0;0%;0%;167.859;0,36%;0;-100%;2013
COMUNIDAD VALENCIANA;14;27,27%;2,4%;5.113.815;10,85%;3;-77,2%;2013
EXTREMADURA;0;0%;0%;1.104.004;2,34%;0;-100%;2013
GALICIA;8;-11,11%;1,37%;2.765.940;5,87%;3;-75,9%;2013
ILLES BALEARS;1;-50%;0,17%;1.111.674;2,36%;1;-92,5%;2013
LA RIOJA;1;-50%;0,17%;322.027;0,68%;3;-74,1%;2013
MADRID;174;50%;29,79%;6.495.551;13,78%;27;123,3%;2013
MURCIA;10;42,86%;1,71%;1.472.049;3,12%;7;-43,4%;2013
NAVARRA;13;-18,75%;2,23%;644.477;1,37%;20;68,1%;2013
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2013
PAIS VASCO;76;-9,52%;13,01%;2.191.682;4,65%;35;189%;2013
TOTAL;584;nan;nan;47.129.783;nan;12;nan;2013
ANDALUCIA;20;-37,5%;3,97%;8.402.305;19,83%;2;-80,2%;2014
ARAGON;4;-63,64%;0,79%;1.325.385;3,13%;3;-74,8%;2014
ASTURIAS;3;-40%;0,6%;1.061.756;2,51%;3;-76,4%;2014
CANARIAS;2;-33,33%;0,4%;2.104.815;4,97%;1;-92,1%;2014
CANTABRIA;0;0%;0%;588.656;1,39%;0;-100%;2014
CASTILLA LA MANCHA;1;-50%;0,2%;2.078.611;4,9%;0;-96%;2014
CASTILLA LEON;12;-7,69%;2,38%;2.494.790;5,89%;5;-59,9%;2014
CATALUÑA;161;-27,15%;31,94%;7.518.903;17,74%;21;78,4%;2014
CEUTA Y MELILLA;0;0%;0%;169.472;0,4%;0;-100%;2014
COMUNIDAD VALENCIANA;24;71,43%;4,76%;5.004.844;11,81%;5;-60%;2014
EXTREMADURA;1;0%;0,2%;1.099.632;2,59%;1;-92,4%;2014
GALICIA;12;50%;2,38%;2.748.695;6,49%;4;-63,6%;2014
ILLES BALEARS;4;300%;0,79%;1.103.442;2,6%;4;-69,8%;2014
LA RIOJA;0;-100%;0%;319.002;0,75%;0;-100%;2014
MADRID;133;-23,56%;26,39%;6.454.440;15,23%;21;71,8%;2014
MURCIA;3;-70%;0,6%;1.466.818;3,46%;2;-82,9%;2014
NAVARRA;21;61,54%;4,17%;640.790;1,51%;33;173,1%;2014
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2014
PAIS VASCO;103;35,53%;20,44%;2.188.985;5,16%;47;292,1%;2014
TOTAL;504;nan;nan;46.771.341;nan;12;nan;2014
ANDALUCIA;15;-25%;2,51%;8.399.043;18,01%;2;-86,2%;2015
ARAGON;23;475%;3,85%;1.317.847;2,83%;17;34,2%;2015
ASTURIAS;10;233,33%;1,68%;1.051.229;2,25%;10;-26,8%;2015
CANARIAS;2;0%;0,34%;2.100.306;4,5%;1;-92,7%;2015
CANTABRIA;2;0%;0,34%;585.179;1,26%;3;-73,7%;2015
CASTILLA LA MANCHA;4;300%;0,67%;2.059.191;4,42%;2;-85,1%;2015
CASTILLA LEON;7;-41,67%;1,17%;2.472.052;5,3%;3;-78,2%;2015
CATALUÑA;194;20,5%;32,5%;7.508.106;16,1%;26;98,8%;2015
CEUTA Y MELILLA;0;0%;0%;169.847;0,36%;0;-100%;2015
COMUNIDAD VALENCIANA;17;-29,17%;2,85%;4.980.689;10,68%;3;-73,8%;2015
EXTREMADURA;1;0%;0,17%;1.092.997;2,34%;1;-93%;2015
GALICIA;16;33,33%;2,68%;2.732.347;5,86%;6;-54,9%;2015
ILLES BALEARS;0;-100%;0%;1.104.479;2,37%;0;-100%;2015
LA RIOJA;3;0%;0,5%;317.053;0,68%;9;-27,2%;2015
MADRID;181;36,09%;30,32%;6.436.996;13,81%;28;116,3%;2015
MURCIA;2;-33,33%;0,34%;1.467.288;3,15%;1;-89,5%;2015
NAVARRA;16;-23,81%;2,68%;640.476;1,37%;25;92,2%;2015
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2015
PAIS VASCO;104;0,97%;17,42%;2.189.257;4,7%;48;265,4%;2015
TOTAL;597;nan;nan;46.624.382;nan;13;nan;2015
ANDALUCIA;26;73,33%;4,18%;8.388.107;18,02%;3;-76,2%;2016
ARAGON;14;-39,13%;2,25%;1.308.563;2,81%;11;-17,7%;2016
ASTURIAS;8;-20%;1,29%;1.042.608;2,24%;8;-41%;2016
CANARIAS;2;0%;0,32%;2.101.924;4,51%;1;-92,7%;2016
CANTABRIA;2;0%;0,32%;582.206;1,25%;3;-73,5%;2016
CASTILLA LA MANCHA;4;0%;0,64%;2.041.631;4,39%;2;-84,9%;2016
CASTILLA LEON;18;157,14%;2,89%;2.447.519;5,26%;7;-43,5%;2016
CATALUÑA;213;9,79%;34,24%;7.522.596;16,16%;28;117,8%;2016
CEUTA Y MELILLA;0;0%;0%;170.545;0,37%;0;-100%;2016
COMUNIDAD VALENCIANA;19;11,76%;3,05%;4.959.968;10,65%;4;-70,5%;2016
EXTREMADURA;0;-100%;0%;1.087.778;2,34%;0;-100%;2016
GALICIA;19;18,75%;3,05%;2.718.525;5,84%;7;-46,2%;2016
ILLES BALEARS;2;0%;0,32%;1.107.220;2,38%;2;-86,1%;2016
LA RIOJA;2;-33,33%;0,32%;315.794;0,68%;6;-51,3%;2016
MADRID;159;-12,15%;25,56%;6.466.996;13,89%;25;89,2%;2016
MURCIA;6;200%;0,96%;1.464.847;3,15%;4;-68,5%;2016
NAVARRA;14;-12,5%;2,25%;640.647;1,38%;22;68,1%;2016
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2016
PAIS VASCO;114;9,62%;18,33%;2.189.534;4,7%;52;300,5%;2016
TOTAL;622;nan;nan;46.557.008;nan;13;nan;2016
ANDALUCIA;44;69,23%;5,68%;8.379.820;17,99%;5;-69,1%;2017
ARAGON;11;-21,43%;1,42%;1.308.750;2,81%;8;-50,6%;2017
ASTURIAS;6;-25%;0,78%;1.034.960;2,22%;6;-65,9%;2017
CANARIAS;1;-50%;0,13%;2.108.121;4,53%;0;-97,2%;2017
CANTABRIA;3;50%;0,39%;580.295;1,25%;5;-69,6%;2017
CASTILLA LA MANCHA;4;0%;0,52%;2.031.479;4,36%;2;-88,4%;2017
CASTILLA LEON;23;27,78%;2,97%;2.425.801;5,21%;9;-44,2%;2017
CATALUÑA;319;49,77%;41,21%;7.555.830;16,22%;42;148,4%;2017
CEUTA Y MELILLA;0;0%;0%;171.079;0,37%;0;-100%;2017
COMUNIDAD VALENCIANA;32;68,42%;4,13%;4.941.509;10,61%;6;-61,9%;2017
EXTREMADURA;0;0%;0%;1.079.920;2,32%;0;-100%;2017
GALICIA;18;-5,26%;2,33%;2.708.339;5,82%;7;-60,9%;2017
ILLES BALEARS;2;0%;0,26%;1.115.999;2,4%;2;-89,5%;2017
LA RIOJA;0;-100%;0%;315.381;0,68%;0;-100%;2017
MADRID;169;6,29%;21,83%;6.507.184;13,97%;26;52,8%;2017
MURCIA;4;-33,33%;0,52%;1.470.273;3,16%;3;-84%;2017
NAVARRA;20;42,86%;2,58%;643.234;1,38%;31;82,9%;2017
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2017
PAIS VASCO;118;3,51%;15,25%;2.194.158;4,71%;54;216,4%;2017
TOTAL;774;nan;nan;46.572.132;nan;17;nan;2017
ANDALUCIA;77;75%;9,01%;8.384.408;17,94%;9;-49%;2018
ARAGON;12;9,09%;1,4%;1.308.728;2,8%;9;-49,1%;2018
ASTURIAS;16;166,67%;1,87%;1.028.244;2,2%;16;-13,6%;2018
CANARIAS;2;100%;0,23%;2.127.685;4,55%;1;-94,8%;2018
CANTABRIA;0;-100%;0%;580.229;1,24%;0;-100%;2018
CASTILLA LA MANCHA;2;-50%;0,23%;2.026.807;4,34%;1;-94,5%;2018
CASTILLA LEON;17;-26,09%;1,99%;2.409.164;5,16%;7;-60,8%;2018
CATALUÑA;290;-9,09%;33,92%;7.600.065;16,27%;38;112%;2018
CEUTA Y MELILLA;0;0%;0%;171.528;0,37%;0;-100%;2018
COMUNIDAD VALENCIANA;38;18,75%;4,44%;4.963.703;10,62%;8;-57,4%;2018
EXTREMADURA;0;0%;0%;1.072.863;2,3%;0;-100%;2018
GALICIA;29;61,11%;3,39%;2.701.743;5,78%;11;-40,4%;2018
ILLES BALEARS;2;0%;0,23%;1.128.908;2,42%;2;-90,2%;2018
LA RIOJA;2;0%;0,23%;315.675;0,68%;6;-64,8%;2018
MADRID;186;10,06%;21,75%;6.578.079;14,08%;28;57,1%;2018
MURCIA;12;200%;1,4%;1.478.509;3,16%;8;-54,9%;2018
NAVARRA;26;30%;3,04%;647.554;1,39%;40;123,1%;2018
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2018
PAIS VASCO;144;22,03%;16,84%;2.199.088;4,71%;65;263,8%;2018
TOTAL;855;nan;nan;46.722.980;nan;18;nan;2018
